Chord,Octave,Notes,Midi numbers,Formula
G#aug,2,"G#, C, E","32, 36, 40","0, 4, 8"
G#aug(b7),2,"G#, C, E, G","32, 36, 40, 43","0, 4, 8, 11"
G#sus2,2,"G#, A#, D#","32, 34, 39","0, 2, 7"
G#sus4,2,"G#, C#, D#","32, 37, 39","0, 5, 7"
G#9,2,"G#, C, D#, F#, A#","32, 36, 39, 42, 46","0, 4, 7, 10, 14"
G#11,2,"G#, C, D#, F#, A#, C#","32, 36, 39, 42, 46, 49","0, 4, 7, 10, 14, 17"
G#13,2,"G#, C, D#, F#, A#, C#, F","32, 36, 39, 42, 46, 49, 53","0, 4, 7, 10, 14, 17, 21"
G#min9,2,"G#, B, D#, F#, A#","32, 35, 39, 42, 46","0, 3, 7, 10, 14"
G#min11,2,"G#, B, D#, F#, A#, C#","32, 35, 39, 42, 46, 49","0, 3, 7, 10, 14, 17"
G#min13,2,"G#, B, D#, F#, A#, C#, F","32, 35, 39, 42, 46, 49, 53","0, 3, 7, 10, 14, 17, 21"
G#maj6,2,"G#, C, D#, F","32, 36, 39, 41","0, 4, 7, 9"
G#b6,2,"G#, C, D#, E","32, 36, 39, 40","0, 4, 7, 8"
G#b3,2,"G#, A#, C, D#","32, 34, 36, 39","0, 2, 4, 7"
G##9,2,"G#, C, D#, B","32, 36, 39, 47","0, 4, 7, 15"
G#dim7,2,"G#, B, D, F","32, 35, 38, 41","0, 3, 6, 9"
G#min6,2,"G#, B, D#, F","32, 35, 39, 41","0, 3, 7, 9"
G#maj9,2,"G#, C, D#, G, A#","32, 36, 39, 43, 46","0, 4, 7, 11, 14"
G#7sus4,2,"G#, C#, D#, F#","32, 37, 39, 42","0, 5, 7, 10"
G#7sus2,2,"G#, A#, D#, F#","32, 34, 39, 42","0, 2, 7, 10"
G#7b5,2,"G#, C, D, F#","32, 36, 38, 42","0, 4, 6, 10"
G#7#5,2,"G#, C, E, F#","32, 36, 40, 42","0, 4, 8, 10"
G#7b9,2,"G#, C, D#, F#, A","32, 36, 39, 42, 45","0, 4, 7, 10, 13"
G##4,2,"G#, D, D#","32, 38, 39","0, 6, 7"
G#7#9,2,"G#, C, D#, F#, B","32, 36, 39, 42, 47","0, 4, 7, 10, 15"
G#hdim,2,"G#, B, D, F#","32, 35, 38, 42","0, 3, 6, 10"
Amaj,2,"A, C#, E","33, 37, 40","0, 4, 7"
Amin,2,"A, C, E","33, 36, 40","0, 3, 7"
A7,2,"A, C#, E, G","33, 37, 40, 43","0, 4, 7, 10"
Amaj7,2,"A, C#, E, G#","33, 37, 40, 44","0, 4, 7, 11"
Amin7,2,"A, C, E, G","33, 36, 40, 43","0, 3, 7, 10"
Aminmaj7,2,"A, C, E, G#","33, 36, 40, 44","0, 3, 7, 11"
Adim,2,"A, C, D#","33, 36, 39","0, 3, 6"
Aaug,2,"A, C#, F","33, 37, 41","0, 4, 8"
Aaug(b7),2,"A, C#, F, G#","33, 37, 41, 44","0, 4, 8, 11"
Asus2,2,"A, B, E","33, 35, 40","0, 2, 7"
Asus4,2,"A, D, E","33, 38, 40","0, 5, 7"
A9,2,"A, C#, E, G, B","33, 37, 40, 43, 47","0, 4, 7, 10, 14"
A11,2,"A, C#, E, G, B, D","33, 37, 40, 43, 47, 50","0, 4, 7, 10, 14, 17"
A13,2,"A, C#, E, G, B, D, F#","33, 37, 40, 43, 47, 50, 54","0, 4, 7, 10, 14, 17, 21"
Amin9,2,"A, C, E, G, B","33, 36, 40, 43, 47","0, 3, 7, 10, 14"
Amin11,2,"A, C, E, G, B, D","33, 36, 40, 43, 47, 50","0, 3, 7, 10, 14, 17"
Amin13,2,"A, C, E, G, B, D, F#","33, 36, 40, 43, 47, 50, 54","0, 3, 7, 10, 14, 17, 21"
Amaj6,2,"A, C#, E, F#","33, 37, 40, 42","0, 4, 7, 9"
Ab6,2,"A, C#, E, F","33, 37, 40, 41","0, 4, 7, 8"
Ab3,2,"A, B, C#, E","33, 35, 37, 40","0, 2, 4, 7"
A#9,2,"A, C#, E, C","33, 37, 40, 48","0, 4, 7, 15"
Adim7,2,"A, C, D#, F#","33, 36, 39, 42","0, 3, 6, 9"
Amin6,2,"A, C, E, F#","33, 36, 40, 42","0, 3, 7, 9"
Amaj9,2,"A, C#, E, G#, B","33, 37, 40, 44, 47","0, 4, 7, 11, 14"
A7sus4,2,"A, D, E, G","33, 38, 40, 43","0, 5, 7, 10"
A7sus2,2,"A, B, E, G","33, 35, 40, 43","0, 2, 7, 10"
A7b5,2,"A, C#, D#, G","33, 37, 39, 43","0, 4, 6, 10"
A7#5,2,"A, C#, F, G","33, 37, 41, 43","0, 4, 8, 10"
A7b9,2,"A, C#, E, G, A#","33, 37, 40, 43, 46","0, 4, 7, 10, 13"
A#4,2,"A, D#, E","33, 39, 40","0, 6, 7"
A7#9,2,"A, C#, E, G, C","33, 37, 40, 43, 48","0, 4, 7, 10, 15"
Ahdim,2,"A, C, D#, G","33, 36, 39, 43","0, 3, 6, 10"
A#maj,2,"A#, D, F","34, 38, 41","0, 4, 7"
A#min,2,"A#, C#, F","34, 37, 41","0, 3, 7"
A#7,2,"A#, D, F, G#","34, 38, 41, 44","0, 4, 7, 10"
A#maj7,2,"A#, D, F, A","34, 38, 41, 45","0, 4, 7, 11"
A#min7,2,"A#, C#, F, G#","34, 37, 41, 44","0, 3, 7, 10"
A#minmaj7,2,"A#, C#, F, A","34, 37, 41, 45","0, 3, 7, 11"
A#dim,2,"A#, C#, E","34, 37, 40","0, 3, 6"
A#aug,2,"A#, D, F#","34, 38, 42","0, 4, 8"
A#aug(b7),2,"A#, D, F#, A","34, 38, 42, 45","0, 4, 8, 11"
A#sus2,2,"A#, C, F","34, 36, 41","0, 2, 7"
A#sus4,2,"A#, D#, F","34, 39, 41","0, 5, 7"
A#9,2,"A#, D, F, G#, C","34, 38, 41, 44, 48","0, 4, 7, 10, 14"
A#11,2,"A#, D, F, G#, C, D#","34, 38, 41, 44, 48, 51","0, 4, 7, 10, 14, 17"
A#13,2,"A#, D, F, G#, C, D#, G","34, 38, 41, 44, 48, 51, 55","0, 4, 7, 10, 14, 17, 21"
A#min9,2,"A#, C#, F, G#, C","34, 37, 41, 44, 48","0, 3, 7, 10, 14"
A#min11,2,"A#, C#, F, G#, C, D#","34, 37, 41, 44, 48, 51","0, 3, 7, 10, 14, 17"
A#min13,2,"A#, C#, F, G#, C, D#, G","34, 37, 41, 44, 48, 51, 55","0, 3, 7, 10, 14, 17, 21"
A#maj6,2,"A#, D, F, G","34, 38, 41, 43","0, 4, 7, 9"
A#b6,2,"A#, D, F, F#","34, 38, 41, 42","0, 4, 7, 8"
A#b3,2,"A#, C, D, F","34, 36, 38, 41","0, 2, 4, 7"
A##9,2,"A#, D, F, C#","34, 38, 41, 49","0, 4, 7, 15"
A#dim7,2,"A#, C#, E, G","34, 37, 40, 43","0, 3, 6, 9"
A#min6,2,"A#, C#, F, G","34, 37, 41, 43","0, 3, 7, 9"
A#maj9,2,"A#, D, F, A, C","34, 38, 41, 45, 48","0, 4, 7, 11, 14"
A#7sus4,2,"A#, D#, F, G#","34, 39, 41, 44","0, 5, 7, 10"
A#7sus2,2,"A#, C, F, G#","34, 36, 41, 44","0, 2, 7, 10"
A#7b5,2,"A#, D, E, G#","34, 38, 40, 44","0, 4, 6, 10"
A#7#5,2,"A#, D, F#, G#","34, 38, 42, 44","0, 4, 8, 10"
A#7b9,2,"A#, D, F, G#, B","34, 38, 41, 44, 47","0, 4, 7, 10, 13"
A##4,2,"A#, E, F","34, 40, 41","0, 6, 7"
A#7#9,2,"A#, D, F, G#, C#","34, 38, 41, 44, 49","0, 4, 7, 10, 15"
A#hdim,2,"A#, C#, E, G#","34, 37, 40, 44","0, 3, 6, 10"
Bmaj,2,"B, D#, F#","35, 39, 42","0, 4, 7"
Bmin,2,"B, D, F#","35, 38, 42","0, 3, 7"
B7,2,"B, D#, F#, A","35, 39, 42, 45","0, 4, 7, 10"
Bmaj7,2,"B, D#, F#, A#","35, 39, 42, 46","0, 4, 7, 11"
Bmin7,2,"B, D, F#, A","35, 38, 42, 45","0, 3, 7, 10"
Bminmaj7,2,"B, D, F#, A#","35, 38, 42, 46","0, 3, 7, 11"
Bdim,2,"B, D, F","35, 38, 41","0, 3, 6"
Baug,2,"B, D#, G","35, 39, 43","0, 4, 8"
Baug(b7),2,"B, D#, G, A#","35, 39, 43, 46","0, 4, 8, 11"
Bsus2,2,"B, C#, F#","35, 37, 42","0, 2, 7"
Bsus4,2,"B, E, F#","35, 40, 42","0, 5, 7"
B9,2,"B, D#, F#, A, C#","35, 39, 42, 45, 49","0, 4, 7, 10, 14"
B11,2,"B, D#, F#, A, C#, E","35, 39, 42, 45, 49, 52","0, 4, 7, 10, 14, 17"
B13,2,"B, D#, F#, A, C#, E, G#","35, 39, 42, 45, 49, 52, 56","0, 4, 7, 10, 14, 17, 21"
Bmin9,2,"B, D, F#, A, C#","35, 38, 42, 45, 49","0, 3, 7, 10, 14"
Bmin11,2,"B, D, F#, A, C#, E","35, 38, 42, 45, 49, 52","0, 3, 7, 10, 14, 17"
Bmin13,2,"B, D, F#, A, C#, E, G#","35, 38, 42, 45, 49, 52, 56","0, 3, 7, 10, 14, 17, 21"
Bmaj6,2,"B, D#, F#, G#","35, 39, 42, 44","0, 4, 7, 9"
Bb6,2,"B, D#, F#, G","35, 39, 42, 43","0, 4, 7, 8"
Bb3,2,"B, C#, D#, F#","35, 37, 39, 42","0, 2, 4, 7"
B#9,2,"B, D#, F#, D","35, 39, 42, 50","0, 4, 7, 15"
Bdim7,2,"B, D, F, G#","35, 38, 41, 44","0, 3, 6, 9"
Bmin6,2,"B, D, F#, G#","35, 38, 42, 44","0, 3, 7, 9"
Bmaj9,2,"B, D#, F#, A#, C#","35, 39, 42, 46, 49","0, 4, 7, 11, 14"
B7sus4,2,"B, E, F#, A","35, 40, 42, 45","0, 5, 7, 10"
B7sus2,2,"B, C#, F#, A","35, 37, 42, 45","0, 2, 7, 10"
B7b5,2,"B, D#, F, A","35, 39, 41, 45","0, 4, 6, 10"
B7#5,2,"B, D#, G, A","35, 39, 43, 45","0, 4, 8, 10"
B7b9,2,"B, D#, F#, A, C","35, 39, 42, 45, 48","0, 4, 7, 10, 13"
B#4,2,"B, F, F#","35, 41, 42","0, 6, 7"
B7#9,2,"B, D#, F#, A, D","35, 39, 42, 45, 50","0, 4, 7, 10, 15"
Bhdim,2,"B, D, F, A","35, 38, 41, 45","0, 3, 6, 10"
Cmaj,3,"C, E, G","36, 40, 43","0, 4, 7"
Cmin,3,"C, D#, G","36, 39, 43","0, 3, 7"
C7,3,"C, E, G, A#","36, 40, 43, 46","0, 4, 7, 10"
Cmaj7,3,"C, E, G, B","36, 40, 43, 47","0, 4, 7, 11"
Cmin7,3,"C, D#, G, A#","36, 39, 43, 46","0, 3, 7, 10"
Cminmaj7,3,"C, D#, G, B","36, 39, 43, 47","0, 3, 7, 11"
Cdim,3,"C, D#, F#","36, 39, 42","0, 3, 6"
Caug,3,"C, E, G#","36, 40, 44","0, 4, 8"
Caug(b7),3,"C, E, G#, B","36, 40, 44, 47","0, 4, 8, 11"
Csus2,3,"C, D, G","36, 38, 43","0, 2, 7"
Csus4,3,"C, F, G","36, 41, 43","0, 5, 7"
C9,3,"C, E, G, A#, D","36, 40, 43, 46, 50","0, 4, 7, 10, 14"
C11,3,"C, E, G, A#, D, F","36, 40, 43, 46, 50, 53","0, 4, 7, 10, 14, 17"
C13,3,"C, E, G, A#, D, F, A","36, 40, 43, 46, 50, 53, 57","0, 4, 7, 10, 14, 17, 21"
Cmin9,3,"C, D#, G, A#, D","36, 39, 43, 46, 50","0, 3, 7, 10, 14"
Cmin11,3,"C, D#, G, A#, D, F","36, 39, 43, 46, 50, 53","0, 3, 7, 10, 14, 17"
Cmin13,3,"C, D#, G, A#, D, F, A","36, 39, 43, 46, 50, 53, 57","0, 3, 7, 10, 14, 17, 21"
Cmaj6,3,"C, E, G, A","36, 40, 43, 45","0, 4, 7, 9"
Cb6,3,"C, E, G, G#","36, 40, 43, 44","0, 4, 7, 8"
Cb3,3,"C, D, E, G","36, 38, 40, 43","0, 2, 4, 7"
C#9,3,"C, E, G, D#","36, 40, 43, 51","0, 4, 7, 15"
Cdim7,3,"C, D#, F#, A","36, 39, 42, 45","0, 3, 6, 9"
Cmin6,3,"C, D#, G, A","36, 39, 43, 45","0, 3, 7, 9"
Cmaj9,3,"C, E, G, B, D","36, 40, 43, 47, 50","0, 4, 7, 11, 14"
C7sus4,3,"C, F, G, A#","36, 41, 43, 46","0, 5, 7, 10"
C7sus2,3,"C, D, G, A#","36, 38, 43, 46","0, 2, 7, 10"
C7b5,3,"C, E, F#, A#","36, 40, 42, 46","0, 4, 6, 10"
C7#5,3,"C, E, G#, A#","36, 40, 44, 46","0, 4, 8, 10"
C7b9,3,"C, E, G, A#, C#","36, 40, 43, 46, 49","0, 4, 7, 10, 13"
C#4,3,"C, F#, G","36, 42, 43","0, 6, 7"
C7#9,3,"C, E, G, A#, D#","36, 40, 43, 46, 51","0, 4, 7, 10, 15"
Chdim,3,"C, D#, F#, A#","36, 39, 42, 46","0, 3, 6, 10"
C#maj,3,"C#, F, G#","37, 41, 44","0, 4, 7"
C#min,3,"C#, E, G#","37, 40, 44","0, 3, 7"
C#7,3,"C#, F, G#, B","37, 41, 44, 47","0, 4, 7, 10"
C#maj7,3,"C#, F, G#, C","37, 41, 44, 48","0, 4, 7, 11"
C#min7,3,"C#, E, G#, B","37, 40, 44, 47","0, 3, 7, 10"
C#minmaj7,3,"C#, E, G#, C","37, 40, 44, 48","0, 3, 7, 11"
C#dim,3,"C#, E, G","37, 40, 43","0, 3, 6"
C#aug,3,"C#, F, A","37, 41, 45","0, 4, 8"
C#aug(b7),3,"C#, F, A, C","37, 41, 45, 48","0, 4, 8, 11"
C#sus2,3,"C#, D#, G#","37, 39, 44","0, 2, 7"
C#sus4,3,"C#, F#, G#","37, 42, 44","0, 5, 7"
C#9,3,"C#, F, G#, B, D#","37, 41, 44, 47, 51","0, 4, 7, 10, 14"
C#11,3,"C#, F, G#, B, D#, F#","37, 41, 44, 47, 51, 54","0, 4, 7, 10, 14, 17"
C#13,3,"C#, F, G#, B, D#, F#, A#","37, 41, 44, 47, 51, 54, 58","0, 4, 7, 10, 14, 17, 21"
C#min9,3,"C#, E, G#, B, D#","37, 40, 44, 47, 51","0, 3, 7, 10, 14"
C#min11,3,"C#, E, G#, B, D#, F#","37, 40, 44, 47, 51, 54","0, 3, 7, 10, 14, 17"
C#min13,3,"C#, E, G#, B, D#, F#, A#","37, 40, 44, 47, 51, 54, 58","0, 3, 7, 10, 14, 17, 21"
C#maj6,3,"C#, F, G#, A#","37, 41, 44, 46","0, 4, 7, 9"
C#b6,3,"C#, F, G#, A","37, 41, 44, 45","0, 4, 7, 8"
C#b3,3,"C#, D#, F, G#","37, 39, 41, 44","0, 2, 4, 7"
C##9,3,"C#, F, G#, E","37, 41, 44, 52","0, 4, 7, 15"
C#dim7,3,"C#, E, G, A#","37, 40, 43, 46","0, 3, 6, 9"
C#min6,3,"C#, E, G#, A#","37, 40, 44, 46","0, 3, 7, 9"
C#maj9,3,"C#, F, G#, C, D#","37, 41, 44, 48, 51","0, 4, 7, 11, 14"
C#7sus4,3,"C#, F#, G#, B","37, 42, 44, 47","0, 5, 7, 10"
C#7sus2,3,"C#, D#, G#, B","37, 39, 44, 47","0, 2, 7, 10"
C#7b5,3,"C#, F, G, B","37, 41, 43, 47","0, 4, 6, 10"
C#7#5,3,"C#, F, A, B","37, 41, 45, 47","0, 4, 8, 10"
C#7b9,3,"C#, F, G#, B, D","37, 41, 44, 47, 50","0, 4, 7, 10, 13"
C##4,3,"C#, G, G#","37, 43, 44","0, 6, 7"
C#7#9,3,"C#, F, G#, B, E","37, 41, 44, 47, 52","0, 4, 7, 10, 15"
C#hdim,3,"C#, E, G, B","37, 40, 43, 47","0, 3, 6, 10"
Dmaj,3,"D, F#, A","38, 42, 45","0, 4, 7"
Dmin,3,"D, F, A","38, 41, 45","0, 3, 7"
D7,3,"D, F#, A, C","38, 42, 45, 48","0, 4, 7, 10"
Dmaj7,3,"D, F#, A, C#","38, 42, 45, 49","0, 4, 7, 11"
Dmin7,3,"D, F, A, C","38, 41, 45, 48","0, 3, 7, 10"
Dminmaj7,3,"D, F, A, C#","38, 41, 45, 49","0, 3, 7, 11"
Ddim,3,"D, F, G#","38, 41, 44","0, 3, 6"
Daug,3,"D, F#, A#","38, 42, 46","0, 4, 8"
Daug(b7),3,"D, F#, A#, C#","38, 42, 46, 49","0, 4, 8, 11"
Dsus2,3,"D, E, A","38, 40, 45","0, 2, 7"
Dsus4,3,"D, G, A","38, 43, 45","0, 5, 7"
D9,3,"D, F#, A, C, E","38, 42, 45, 48, 52","0, 4, 7, 10, 14"
D11,3,"D, F#, A, C, E, G","38, 42, 45, 48, 52, 55","0, 4, 7, 10, 14, 17"
D13,3,"D, F#, A, C, E, G, B","38, 42, 45, 48, 52, 55, 59","0, 4, 7, 10, 14, 17, 21"
Dmin9,3,"D, F, A, C, E","38, 41, 45, 48, 52","0, 3, 7, 10, 14"
Dmin11,3,"D, F, A, C, E, G","38, 41, 45, 48, 52, 55","0, 3, 7, 10, 14, 17"
Dmin13,3,"D, F, A, C, E, G, B","38, 41, 45, 48, 52, 55, 59","0, 3, 7, 10, 14, 17, 21"
Dmaj6,3,"D, F#, A, B","38, 42, 45, 47","0, 4, 7, 9"
Db6,3,"D, F#, A, A#","38, 42, 45, 46","0, 4, 7, 8"
Db3,3,"D, E, F#, A","38, 40, 42, 45","0, 2, 4, 7"
D#9,3,"D, F#, A, F","38, 42, 45, 53","0, 4, 7, 15"
Ddim7,3,"D, F, G#, B","38, 41, 44, 47","0, 3, 6, 9"
Dmin6,3,"D, F, A, B","38, 41, 45, 47","0, 3, 7, 9"
Dmaj9,3,"D, F#, A, C#, E","38, 42, 45, 49, 52","0, 4, 7, 11, 14"
D7sus4,3,"D, G, A, C","38, 43, 45, 48","0, 5, 7, 10"
D7sus2,3,"D, E, A, C","38, 40, 45, 48","0, 2, 7, 10"
D7b5,3,"D, F#, G#, C","38, 42, 44, 48","0, 4, 6, 10"
D7#5,3,"D, F#, A#, C","38, 42, 46, 48","0, 4, 8, 10"
D7b9,3,"D, F#, A, C, D#","38, 42, 45, 48, 51","0, 4, 7, 10, 13"
D#4,3,"D, G#, A","38, 44, 45","0, 6, 7"
D7#9,3,"D, F#, A, C, F","38, 42, 45, 48, 53","0, 4, 7, 10, 15"
Dhdim,3,"D, F, G#, C","38, 41, 44, 48","0, 3, 6, 10"
D#maj,3,"D#, G, A#","39, 43, 46","0, 4, 7"
D#min,3,"D#, F#, A#","39, 42, 46","0, 3, 7"
D#7,3,"D#, G, A#, C#","39, 43, 46, 49","0, 4, 7, 10"
D#maj7,3,"D#, G, A#, D","39, 43, 46, 50","0, 4, 7, 11"
D#min7,3,"D#, F#, A#, C#","39, 42, 46, 49","0, 3, 7, 10"
D#minmaj7,3,"D#, F#, A#, D","39, 42, 46, 50","0, 3, 7, 11"
D#dim,3,"D#, F#, A","39, 42, 45","0, 3, 6"
D#aug,3,"D#, G, B","39, 43, 47","0, 4, 8"
D#aug(b7),3,"D#, G, B, D","39, 43, 47, 50","0, 4, 8, 11"
D#sus2,3,"D#, F, A#","39, 41, 46","0, 2, 7"
D#sus4,3,"D#, G#, A#","39, 44, 46","0, 5, 7"
D#9,3,"D#, G, A#, C#, F","39, 43, 46, 49, 53","0, 4, 7, 10, 14"
D#11,3,"D#, G, A#, C#, F, G#","39, 43, 46, 49, 53, 56","0, 4, 7, 10, 14, 17"
D#13,3,"D#, G, A#, C#, F, G#, C","39, 43, 46, 49, 53, 56, 60","0, 4, 7, 10, 14, 17, 21"
D#min9,3,"D#, F#, A#, C#, F","39, 42, 46, 49, 53","0, 3, 7, 10, 14"
D#min11,3,"D#, F#, A#, C#, F, G#","39, 42, 46, 49, 53, 56","0, 3, 7, 10, 14, 17"
D#min13,3,"D#, F#, A#, C#, F, G#, C","39, 42, 46, 49, 53, 56, 60","0, 3, 7, 10, 14, 17, 21"
D#maj6,3,"D#, G, A#, C","39, 43, 46, 48","0, 4, 7, 9"
D#b6,3,"D#, G, A#, B","39, 43, 46, 47","0, 4, 7, 8"
D#b3,3,"D#, F, G, A#","39, 41, 43, 46","0, 2, 4, 7"
D##9,3,"D#, G, A#, F#","39, 43, 46, 54","0, 4, 7, 15"
D#dim7,3,"D#, F#, A, C","39, 42, 45, 48","0, 3, 6, 9"
D#min6,3,"D#, F#, A#, C","39, 42, 46, 48","0, 3, 7, 9"
D#maj9,3,"D#, G, A#, D, F","39, 43, 46, 50, 53","0, 4, 7, 11, 14"
D#7sus4,3,"D#, G#, A#, C#","39, 44, 46, 49","0, 5, 7, 10"
D#7sus2,3,"D#, F, A#, C#","39, 41, 46, 49","0, 2, 7, 10"
D#7b5,3,"D#, G, A, C#","39, 43, 45, 49","0, 4, 6, 10"
D#7#5,3,"D#, G, B, C#","39, 43, 47, 49","0, 4, 8, 10"
D#7b9,3,"D#, G, A#, C#, E","39, 43, 46, 49, 52","0, 4, 7, 10, 13"
D##4,3,"D#, A, A#","39, 45, 46","0, 6, 7"
D#7#9,3,"D#, G, A#, C#, F#","39, 43, 46, 49, 54","0, 4, 7, 10, 15"
D#hdim,3,"D#, F#, A, C#","39, 42, 45, 49","0, 3, 6, 10"
Emaj,3,"E, G#, B","40, 44, 47","0, 4, 7"
Emin,3,"E, G, B","40, 43, 47","0, 3, 7"
E7,3,"E, G#, B, D","40, 44, 47, 50","0, 4, 7, 10"
Emaj7,3,"E, G#, B, D#","40, 44, 47, 51","0, 4, 7, 11"
Emin7,3,"E, G, B, D","40, 43, 47, 50","0, 3, 7, 10"
Eminmaj7,3,"E, G, B, D#","40, 43, 47, 51","0, 3, 7, 11"
Edim,3,"E, G, A#","40, 43, 46","0, 3, 6"
Eaug,3,"E, G#, C","40, 44, 48","0, 4, 8"
Eaug(b7),3,"E, G#, C, D#","40, 44, 48, 51","0, 4, 8, 11"
Esus2,3,"E, F#, B","40, 42, 47","0, 2, 7"
Esus4,3,"E, A, B","40, 45, 47","0, 5, 7"
E9,3,"E, G#, B, D, F#","40, 44, 47, 50, 54","0, 4, 7, 10, 14"
E11,3,"E, G#, B, D, F#, A","40, 44, 47, 50, 54, 57","0, 4, 7, 10, 14, 17"
E13,3,"E, G#, B, D, F#, A, C#","40, 44, 47, 50, 54, 57, 61","0, 4, 7, 10, 14, 17, 21"
Emin9,3,"E, G, B, D, F#","40, 43, 47, 50, 54","0, 3, 7, 10, 14"
Emin11,3,"E, G, B, D, F#, A","40, 43, 47, 50, 54, 57","0, 3, 7, 10, 14, 17"
Emin13,3,"E, G, B, D, F#, A, C#","40, 43, 47, 50, 54, 57, 61","0, 3, 7, 10, 14, 17, 21"
Emaj6,3,"E, G#, B, C#","40, 44, 47, 49","0, 4, 7, 9"
Eb6,3,"E, G#, B, C","40, 44, 47, 48","0, 4, 7, 8"
Eb3,3,"E, F#, G#, B","40, 42, 44, 47","0, 2, 4, 7"
E#9,3,"E, G#, B, G","40, 44, 47, 55","0, 4, 7, 15"
Edim7,3,"E, G, A#, C#","40, 43, 46, 49","0, 3, 6, 9"
Emin6,3,"E, G, B, C#","40, 43, 47, 49","0, 3, 7, 9"
Emaj9,3,"E, G#, B, D#, F#","40, 44, 47, 51, 54","0, 4, 7, 11, 14"
E7sus4,3,"E, A, B, D","40, 45, 47, 50","0, 5, 7, 10"
E7sus2,3,"E, F#, B, D","40, 42, 47, 50","0, 2, 7, 10"
E7b5,3,"E, G#, A#, D","40, 44, 46, 50","0, 4, 6, 10"
E7#5,3,"E, G#, C, D","40, 44, 48, 50","0, 4, 8, 10"
E7b9,3,"E, G#, B, D, F","40, 44, 47, 50, 53","0, 4, 7, 10, 13"
E#4,3,"E, A#, B","40, 46, 47","0, 6, 7"
E7#9,3,"E, G#, B, D, G","40, 44, 47, 50, 55","0, 4, 7, 10, 15"
Ehdim,3,"E, G, A#, D","40, 43, 46, 50","0, 3, 6, 10"
Fmaj,3,"F, A, C","41, 45, 48","0, 4, 7"
Fmin,3,"F, G#, C","41, 44, 48","0, 3, 7"
F7,3,"F, A, C, D#","41, 45, 48, 51","0, 4, 7, 10"
Fmaj7,3,"F, A, C, E","41, 45, 48, 52","0, 4, 7, 11"
Fmin7,3,"F, G#, C, D#","41, 44, 48, 51","0, 3, 7, 10"
Fminmaj7,3,"F, G#, C, E","41, 44, 48, 52","0, 3, 7, 11"
Fdim,3,"F, G#, B","41, 44, 47","0, 3, 6"
Faug,3,"F, A, C#","41, 45, 49","0, 4, 8"
Faug(b7),3,"F, A, C#, E","41, 45, 49, 52","0, 4, 8, 11"
Fsus2,3,"F, G, C","41, 43, 48","0, 2, 7"
Fsus4,3,"F, A#, C","41, 46, 48","0, 5, 7"
F9,3,"F, A, C, D#, G","41, 45, 48, 51, 55","0, 4, 7, 10, 14"
F11,3,"F, A, C, D#, G, A#","41, 45, 48, 51, 55, 58","0, 4, 7, 10, 14, 17"
F13,3,"F, A, C, D#, G, A#, D","41, 45, 48, 51, 55, 58, 62","0, 4, 7, 10, 14, 17, 21"
Fmin9,3,"F, G#, C, D#, G","41, 44, 48, 51, 55","0, 3, 7, 10, 14"
Fmin11,3,"F, G#, C, D#, G, A#","41, 44, 48, 51, 55, 58","0, 3, 7, 10, 14, 17"
Fmin13,3,"F, G#, C, D#, G, A#, D","41, 44, 48, 51, 55, 58, 62","0, 3, 7, 10, 14, 17, 21"
Fmaj6,3,"F, A, C, D","41, 45, 48, 50","0, 4, 7, 9"
Fb6,3,"F, A, C, C#","41, 45, 48, 49","0, 4, 7, 8"
Fb3,3,"F, G, A, C","41, 43, 45, 48","0, 2, 4, 7"
F#9,3,"F, A, C, G#","41, 45, 48, 56","0, 4, 7, 15"
Fdim7,3,"F, G#, B, D","41, 44, 47, 50","0, 3, 6, 9"
Fmin6,3,"F, G#, C, D","41, 44, 48, 50","0, 3, 7, 9"
Fmaj9,3,"F, A, C, E, G","41, 45, 48, 52, 55","0, 4, 7, 11, 14"
F7sus4,3,"F, A#, C, D#","41, 46, 48, 51","0, 5, 7, 10"
F7sus2,3,"F, G, C, D#","41, 43, 48, 51","0, 2, 7, 10"
F7b5,3,"F, A, B, D#","41, 45, 47, 51","0, 4, 6, 10"
F7#5,3,"F, A, C#, D#","41, 45, 49, 51","0, 4, 8, 10"
F7b9,3,"F, A, C, D#, F#","41, 45, 48, 51, 54","0, 4, 7, 10, 13"
F#4,3,"F, B, C","41, 47, 48","0, 6, 7"
F7#9,3,"F, A, C, D#, G#","41, 45, 48, 51, 56","0, 4, 7, 10, 15"
Fhdim,3,"F, G#, B, D#","41, 44, 47, 51","0, 3, 6, 10"
F#maj,3,"F#, A#, C#","42, 46, 49","0, 4, 7"
F#min,3,"F#, A, C#","42, 45, 49","0, 3, 7"
F#7,3,"F#, A#, C#, E","42, 46, 49, 52","0, 4, 7, 10"
F#maj7,3,"F#, A#, C#, F","42, 46, 49, 53","0, 4, 7, 11"
F#min7,3,"F#, A, C#, E","42, 45, 49, 52","0, 3, 7, 10"
F#minmaj7,3,"F#, A, C#, F","42, 45, 49, 53","0, 3, 7, 11"
F#dim,3,"F#, A, C","42, 45, 48","0, 3, 6"
F#aug,3,"F#, A#, D","42, 46, 50","0, 4, 8"
F#aug(b7),3,"F#, A#, D, F","42, 46, 50, 53","0, 4, 8, 11"
F#sus2,3,"F#, G#, C#","42, 44, 49","0, 2, 7"
F#sus4,3,"F#, B, C#","42, 47, 49","0, 5, 7"
