Chord,Octave,Notes,Midi numbers,Formula
Eaug(b7),1,"E, G#, C, D#","16, 20, 24, 27","0, 4, 8, 11"
Esus2,1,"E, F#, B","16, 18, 23","0, 2, 7"
Esus4,1,"E, A, B","16, 21, 23","0, 5, 7"
E9,1,"E, G#, B, D, F#","16, 20, 23, 26, 30","0, 4, 7, 10, 14"
E11,1,"E, G#, B, D, F#, A","16, 20, 23, 26, 30, 33","0, 4, 7, 10, 14, 17"
E13,1,"E, G#, B, D, F#, A, C#","16, 20, 23, 26, 30, 33, 37","0, 4, 7, 10, 14, 17, 21"
Emin9,1,"E, G, B, D, F#","16, 19, 23, 26, 30","0, 3, 7, 10, 14"
Emin11,1,"E, G, B, D, F#, A","16, 19, 23, 26, 30, 33","0, 3, 7, 10, 14, 17"
Emin13,1,"E, G, B, D, F#, A, C#","16, 19, 23, 26, 30, 33, 37","0, 3, 7, 10, 14, 17, 21"
Emaj6,1,"E, G#, B, C#","16, 20, 23, 25","0, 4, 7, 9"
Eb6,1,"E, G#, B, C","16, 20, 23, 24","0, 4, 7, 8"
Eb3,1,"E, F#, G#, B","16, 18, 20, 23","0, 2, 4, 7"
E#9,1,"E, G#, B, G","16, 20, 23, 31","0, 4, 7, 15"
Edim7,1,"E, G, A#, C#","16, 19, 22, 25","0, 3, 6, 9"
Emin6,1,"E, G, B, C#","16, 19, 23, 25","0, 3, 7, 9"
Emaj9,1,"E, G#, B, D#, F#","16, 20, 23, 27, 30","0, 4, 7, 11, 14"
E7sus4,1,"E, A, B, D","16, 21, 23, 26","0, 5, 7, 10"
E7sus2,1,"E, F#, B, D","16, 18, 23, 26","0, 2, 7, 10"
E7b5,1,"E, G#, A#, D","16, 20, 22, 26","0, 4, 6, 10"
E7#5,1,"E, G#, C, D","16, 20, 24, 26","0, 4, 8, 10"
E7b9,1,"E, G#, B, D, F","16, 20, 23, 26, 29","0, 4, 7, 10, 13"
E#4,1,"E, A#, B","16, 22, 23","0, 6, 7"
E7#9,1,"E, G#, B, D, G","16, 20, 23, 26, 31","0, 4, 7, 10, 15"
Ehdim,1,"E, G, A#, D","16, 19, 22, 26","0, 3, 6, 10"
Fmaj,1,"F, A, C","17, 21, 24","0, 4, 7"
Fmin,1,"F, G#, C","17, 20, 24","0, 3, 7"
F7,1,"F, A, C, D#","17, 21, 24, 27","0, 4, 7, 10"
Fmaj7,1,"F, A, C, E","17, 21, 24, 28","0, 4, 7, 11"
Fmin7,1,"F, G#, C, D#","17, 20, 24, 27","0, 3, 7, 10"
Fminmaj7,1,"F, G#, C, E","17, 20, 24, 28","0, 3, 7, 11"
Fdim,1,"F, G#, B","17, 20, 23","0, 3, 6"
Faug,1,"F, A, C#","17, 21, 25","0, 4, 8"
Faug(b7),1,"F, A, C#, E","17, 21, 25, 28","0, 4, 8, 11"
Fsus2,1,"F, G, C","17, 19, 24","0, 2, 7"
Fsus4,1,"F, A#, C","17, 22, 24","0, 5, 7"
F9,1,"F, A, C, D#, G","17, 21, 24, 27, 31","0, 4, 7, 10, 14"
F11,1,"F, A, C, D#, G, A#","17, 21, 24, 27, 31, 34","0, 4, 7, 10, 14, 17"
F13,1,"F, A, C, D#, G, A#, D","17, 21, 24, 27, 31, 34, 38","0, 4, 7, 10, 14, 17, 21"
Fmin9,1,"F, G#, C, D#, G","17, 20, 24, 27, 31","0, 3, 7, 10, 14"
Fmin11,1,"F, G#, C, D#, G, A#","17, 20, 24, 27, 31, 34","0, 3, 7, 10, 14, 17"
Fmin13,1,"F, G#, C, D#, G, A#, D","17, 20, 24, 27, 31, 34, 38","0, 3, 7, 10, 14, 17, 21"
Fmaj6,1,"F, A, C, D","17, 21, 24, 26","0, 4, 7, 9"
Fb6,1,"F, A, C, C#","17, 21, 24, 25","0, 4, 7, 8"
Fb3,1,"F, G, A, C","17, 19, 21, 24","0, 2, 4, 7"
F#9,1,"F, A, C, G#","17, 21, 24, 32","0, 4, 7, 15"
Fdim7,1,"F, G#, B, D","17, 20, 23, 26","0, 3, 6, 9"
Fmin6,1,"F, G#, C, D","17, 20, 24, 26","0, 3, 7, 9"
Fmaj9,1,"F, A, C, E, G","17, 21, 24, 28, 31","0, 4, 7, 11, 14"
F7sus4,1,"F, A#, C, D#","17, 22, 24, 27","0, 5, 7, 10"
F7sus2,1,"F, G, C, D#","17, 19, 24, 27","0, 2, 7, 10"
F7b5,1,"F, A, B, D#","17, 21, 23, 27","0, 4, 6, 10"
F7#5,1,"F, A, C#, D#","17, 21, 25, 27","0, 4, 8, 10"
F7b9,1,"F, A, C, D#, F#","17, 21, 24, 27, 30","0, 4, 7, 10, 13"
F#4,1,"F, B, C","17, 23, 24","0, 6, 7"
F7#9,1,"F, A, C, D#, G#","17, 21, 24, 27, 32","0, 4, 7, 10, 15"
Fhdim,1,"F, G#, B, D#","17, 20, 23, 27","0, 3, 6, 10"
F#maj,1,"F#, A#, C#","18, 22, 25","0, 4, 7"
F#min,1,"F#, A, C#","18, 21, 25","0, 3, 7"
F#7,1,"F#, A#, C#, E","18, 22, 25, 28","0, 4, 7, 10"
F#maj7,1,"F#, A#, C#, F","18, 22, 25, 29","0, 4, 7, 11"
F#min7,1,"F#, A, C#, E","18, 21, 25, 28","0, 3, 7, 10"
F#minmaj7,1,"F#, A, C#, F","18, 21, 25, 29","0, 3, 7, 11"
F#dim,1,"F#, A, C","18, 21, 24","0, 3, 6"
F#aug,1,"F#, A#, D","18, 22, 26","0, 4, 8"
F#aug(b7),1,"F#, A#, D, F","18, 22, 26, 29","0, 4, 8, 11"
F#sus2,1,"F#, G#, C#","18, 20, 25","0, 2, 7"
F#sus4,1,"F#, B, C#","18, 23, 25","0, 5, 7"
F#9,1,"F#, A#, C#, E, G#","18, 22, 25, 28, 32","0, 4, 7, 10, 14"
F#11,1,"F#, A#, C#, E, G#, B","18, 22, 25, 28, 32, 35","0, 4, 7, 10, 14, 17"
F#13,1,"F#, A#, C#, E, G#, B, D#","18, 22, 25, 28, 32, 35, 39","0, 4, 7, 10, 14, 17, 21"
F#min9,1,"F#, A, C#, E, G#","18, 21, 25, 28, 32","0, 3, 7, 10, 14"
F#min11,1,"F#, A, C#, E, G#, B","18, 21, 25, 28, 32, 35","0, 3, 7, 10, 14, 17"
F#min13,1,"F#, A, C#, E, G#, B, D#","18, 21, 25, 28, 32, 35, 39","0, 3, 7, 10, 14, 17, 21"
F#maj6,1,"F#, A#, C#, D#","18, 22, 25, 27","0, 4, 7, 9"
F#b6,1,"F#, A#, C#, D","18, 22, 25, 26","0, 4, 7, 8"
